        MR         R2
 6.647E+02  1.974E-02
 1.053E+03  1.519E-02
 7.140E+02  6.175E-02
 4.595E+02  2.878E-02
 4.972E+02  7.561E-02
 5.087E+02  5.948E-02
 6.673E+02  2.804E-02
 6.322E+02  3.465E-02
 5.694E+02  5.838E-02
 4.698E+02  1.207E-01
 7.475E+02  1.393E-02
 3.851E+02  1.008E-01
 4.702E+02  1.891E-02
 5.509E+02  1.317E-02
 7.902E+02  6.836E-02
 4.646E+02  2.362E-02
 7.655E+02  2.698E-02
 3.986E+02  1.750E-02
 5.693E+02  5.804E-02
 4.856E+02  3.585E-02
 1.116E+03  1.248E-01
 1.372E+03  4.620E-02
 1.173E+03  4.036E-02
 5.083E+02  6.361E-02
 5.205E+02  2.016E-02
 7.460E+02  5.617E-02
 8.536E+02  3.112E-02
 5.379E+02  1.423E-01
 5.218E+02  8.035E-03
 8.451E+02  1.327E-02
 1.142E+03  5.481E-03
 4.139E+02  1.299E-02
 6.407E+02  2.803E-02
 4.668E+02  6.171E-03
 6.543E+02  3.327E-01
 4.853E+02  3.549E-02
 3.450E+02  7.405E-02
 8.918E+02  4.891E-02
 1.122E+03  5.071E-02
 9.446E+02  3.561E-02
 6.968E+02  2.641E-02
 7.707E+02  3.754E-02
 5.125E+02  1.286E-01
 2.715E+02  5.517E-01
 6.537E+02  4.564E-02
 5.849E+02  1.460E-01
 5.700E+02  4.093E-03
 8.947E+02  3.508E-03
 9.086E+02  1.808E-02
 7.517E+02  7.424E-02
 4.286E+02  1.092E-01
 5.021E+02  2.487E-01
 4.094E+02  3.410E-02
 9.331E+02  1.914E-02
 7.161E+02  2.339E-02
 6.588E+02  3.595E-02
 5.514E+02  5.363E-02
 7.533E+02  2.228E-02
 1.528E+03  1.188E-02
 4.930E+02  3.782E-02
 1.156E+03  6.508E-03
 8.416E+02  4.020E-03
 4.320E+02  2.975E-02
 4.232E+02  2.704E-02
 1.603E+03  4.674E-03
 5.923E+02  4.666E-03
 4.303E+02  1.471E-02
 3.088E+02  2.409E-01
 6.817E+02  6.819E-01
 4.035E+02  6.428E-02
 7.704E+02  1.646E-02
 5.504E+02  5.366E-02
 5.815E+02  1.750E-02
 5.910E+02  2.220E-02
 4.512E+02  4.374E-02
 5.299E+02  2.617E-02
 5.602E+02  3.557E-02
 1.130E+03  7.791E-04
 3.164E+02  2.959E-01
 8.262E+02  3.636E-02
 4.708E+02  1.859E-02
 4.994E+02  1.349E-02
 9.541E+02  1.369E-02
 6.938E+02  1.059E-02
 9.858E+02  1.653E-02
 7.755E+02  2.126E-02
 6.921E+02  6.476E-03
 4.107E+02  9.680E-02
 6.294E+02  2.289E-02
 3.800E+02  1.975E-01
 6.890E+02  1.068E-02
 6.015E+02  3.140E-02
 4.688E+02  3.457E-02
 4.888E+02  6.410E-03
 5.047E+02  1.070E-01
 8.066E+02  5.289E-02
 5.777E+02  3.148E-02
 7.100E+02  3.703E-02
 8.760E+02  1.363E-02
 3.440E+03  4.176E-04
 3.517E+03  5.758E-03
 5.386E+02  1.785E-02
 5.205E+02  2.417E-02
 7.696E+02  1.977E-02
 8.271E+02  1.760E-02
 4.464E+02  3.160E-02
 3.019E+02  1.475E-01
 3.314E+02  3.455E-01
 3.890E+02  2.528E-02
 5.841E+02  2.905E-02
 5.971E+02  3.787E-02
 5.496E+02  3.311E-02
 7.066E+02  3.915E-02
 5.885E+02  1.699E-02
 6.068E+02  4.270E-02
 3.881E+02  1.245E-02
 4.915E+02  1.187E-02
 3.244E+02  3.190E-01
 5.257E+02  3.762E-02
 6.433E+02  2.461E-02
 5.735E+02  8.893E-03
 5.435E+02  2.872E-02
 8.834E+02  2.767E-02
 1.231E+03  5.155E-02
 5.760E+02  2.619E-02
 4.350E+02  1.788E-01
 7.615E+02  2.856E-02
 8.621E+02  5.162E-03
 4.446E+02  3.999E-01
 6.212E+02  9.862E-03
 2.727E+02  3.780E-01
 4.937E+02  3.577E-02
 7.062E+02  2.979E-02
 9.831E+02  6.443E-02
 4.353E+02  1.906E-01
 6.768E+02  9.560E-02
 8.048E+02  1.159E-02
 6.007E+02  1.115E-02
 5.855E+02  4.084E-02
 3.236E+03  7.780E-04
 2.844E+02  1.575E-01
 8.335E+02  1.928E-02
 5.638E+02  1.572E-02
 2.927E+02  5.272E-01
 7.249E+02  8.679E-02
 8.296E+02  2.743E-02
 6.601E+02  7.357E-02
 4.758E+02  3.052E-02
 3.402E+02  2.464E-02
 1.750E+03  5.928E-03
 3.176E+02  4.702E-01
 7.729E+02  9.204E-02
 5.088E+02  5.139E-02
 5.975E+02  8.619E-02
 5.720E+02  8.207E-02
 5.288E+02  3.749E-02
 7.128E+02  7.561E-03
 1.080E+03  5.413E-03
 1.263E+03  8.788E-03
 5.713E+02  8.635E-02
 6.944E+02  4.195E-02
 1.531E+03  1.257E-02
 6.018E+02  1.376E-02
 6.882E+02  5.499E-02
 5.223E+02  1.028E-02
 4.002E+02  5.546E-02
 4.571E+02  3.171E-02
 6.812E+02  2.200E-02
 4.427E+02  1.800E-01
 4.766E+02  3.952E-02
 6.714E+02  8.652E-03
 9.597E+02  1.134E-01
 8.168E+02  6.231E-02
 4.990E+02  1.868E-02
 1.082E+03  5.405E-02
 5.251E+02  8.271E-02
 6.428E+02  2.698E-02
 6.138E+02  2.723E-02
 4.948E+02  3.055E-02
 3.911E+02  2.663E-02
 3.796E+02  5.983E-02
 6.654E+02  4.429E-02
 8.936E+02  5.067E-02
 3.029E+02  4.332E-01
 4.248E+02  4.768E-02
 5.628E+02  8.477E-02
 4.474E+02  3.733E-02
 8.134E+02  1.205E-02
 4.435E+02  2.926E-02
 2.503E+03  5.295E-02
 4.577E+02  2.399E-02
 4.731E+02  5.405E-02
 7.412E+02  5.754E-02
 5.197E+02  3.538E-02
 8.613E+02  1.563E-02
 4.688E+02  3.324E-03
 6.395E+02  1.869E-02
 8.603E+02  1.427E-02
 7.189E+02  4.895E-02
 5.116E+02  2.600E-02
 4.924E+02  5.924E-02
 4.461E+02  5.821E-02
 7.635E+02  2.468E-02
 5.915E+02  1.492E-01
 3.622E+02  2.466E-01
 9.760E+02  1.393E-02
 4.940E+02  1.603E-02
 1.006E+03  3.014E-03
 7.246E+02  2.923E-02
 7.668E+02  1.245E-02
 9.462E+02  9.878E-02
 9.050E+02  1.045E-02
 5.042E+02  3.801E-02
 9.861E+02  7.273E-03
 3.886E+02  5.882E-02
 5.981E+02  1.154E-02
 1.444E+03  2.132E-03
 3.015E+02  2.634E-02
 4.467E+02  4.206E-02
 4.910E+02  1.176E-02
 7.075E+02  4.240E-02
 4.342E+02  2.916E-02
 6.211E+02  3.540E-02
 1.172E+03  1.535E-02
 5.332E+02  7.832E-02
 1.511E+03  5.796E-02
 5.880E+02  9.912E-02
 9.869E+02  3.313E-02
 8.673E+02  2.178E-02
 6.974E+02  5.242E-02
 4.754E+02  1.891E-01
 5.084E+02  7.847E-03
 8.814E+02  6.349E-03
 4.726E+02  3.548E-02
 1.111E+03  1.123E-02
 2.871E+02  2.147E-01
 7.710E+02  2.235E-02
 3.737E+02  1.207E-01
 3.542E+02  5.278E-02
 5.426E+02  2.843E-02
 5.425E+02  2.174E-02
 5.365E+02  1.266E-02
 8.039E+02  4.617E-03
 4.934E+02  2.670E-01
 6.544E+02  1.738E-02
 7.741E+02  1.023E-02
 5.160E+02  1.460E-02
 5.687E+02  3.461E-03
 6.746E+02  6.942E-02
 4.135E+02  1.897E-02
 5.775E+02  6.944E-02
 4.443E+02  2.182E-01
 9.638E+02  5.907E-03
 1.727E+03  7.091E-03
 7.272E+02  5.135E-02
 3.986E+02  6.167E-02
 4.610E+02  2.944E-02
 7.942E+02  2.418E-02
 6.955E+02  1.457E-01
 5.600E+02  3.382E-01
 1.635E+03  9.678E-03
 5.579E+02  2.009E-02
 8.839E+02  2.814E-02
