        MR         R2
 8.651E+02  3.329E-01
 3.988E+02  4.715E-01
 1.266E+03  3.439E-01
 1.288E+03  7.356E-02
 1.406E+03  7.547E-02
 1.039E+03  6.295E-02
 5.660E+02  7.390E-01
 9.721E+02  4.638E-01
 1.297E+03  8.174E-02
 6.876E+02  7.564E-02
 1.658E+03  2.245E-01
 1.227E+03  1.597E-01
 1.692E+03  5.411E-02
 7.254E+02  1.780E-01
 8.718E+02  6.287E-01
 6.986E+02  1.326E-01
 1.624E+03  2.507E-01
 6.108E+02  7.757E-01
 9.362E+02  2.245E-01
 6.930E+02  3.492E-01
 8.968E+02  1.229E-01
 9.673E+02  2.687E-01
 1.007E+03  2.647E-01
 1.235E+03  3.232E-01
 1.425E+03  1.794E-01
 2.188E+03  1.877E-01
 1.017E+03  2.903E-01
 1.857E+03  4.660E-02
 7.488E+02  4.699E-01
 5.853E+02  4.245E-01
 9.904E+02  4.174E-01
 1.999E+03  2.426E-01
 8.646E+02  8.174E-02
 8.154E+02  5.634E-01
 5.645E+02  2.384E-01
 1.442E+03  9.358E-02
 1.181E+03  2.365E-01
 1.375E+03  1.027E-01
 5.413E+02  8.322E-01
 9.112E+02  2.844E-01
 8.468E+02  2.083E-01
 1.314E+03  2.613E-01
 8.797E+02  4.159E-01
 2.114E+03  1.844E-01
 7.138E+02  3.532E-01
 4.859E+02  8.392E-02
 1.286E+03  4.027E-01
 1.114E+03  1.430E-01
 7.801E+02  1.543E-01
 1.830E+03  3.090E-01
 6.263E+02  2.605E-01
 6.514E+02  4.080E-01
 4.626E+02  2.207E-01
 5.595E+02  2.885E-01
 1.152E+03  1.768E-01
 2.475E+03  1.119E-01
 7.589E+02  3.915E-01
 4.736E+02  6.501E-01
 1.569E+03  1.844E-02
 1.167E+03  6.322E-02
 6.865E+02  5.650E-01
 1.259E+03  3.047E-01
 2.034E+03  2.483E-01
 7.953E+02  6.547E-02
 8.788E+02  1.945E-01
 9.587E+02  1.927E-01
 1.748E+03  2.709E-02
 8.131E+02  5.881E-01
 1.281E+03  1.425E-01
 7.659E+02  1.170E-01
 1.538E+03  1.774E-01
 1.009E+03  5.367E-01
 6.824E+02  5.335E-01
 1.093E+03  3.579E-01
 9.724E+02  6.461E-01
 8.010E+02  8.058E-01
 6.064E+02  5.588E-01
 1.187E+03  3.758E-01
 1.206E+03  2.841E-01
 6.685E+02  6.390E-02
 8.522E+02  1.079E-01
 1.032E+03  9.510E-02
 9.702E+02  4.319E-01
 4.087E+02  5.877E-01
 7.439E+02  7.849E-01
 5.980E+02  5.384E-01
 5.151E+02  7.881E-01
 1.184E+03  5.282E-01
 6.094E+02  6.762E-02
 7.689E+02  7.496E-01
 1.441E+03  1.098E-01
 9.724E+02  2.365E-02
 8.536E+02  8.050E-01
 6.200E+02  8.071E-02
 1.795E+03  2.696E-02
 2.059E+03  1.049E-01
 5.903E+02  2.879E-01
 1.335E+03  3.919E-01
 8.935E+02  6.504E-01
 7.624E+02  5.797E-01
 1.420E+03  9.269E-02
 1.734E+03  1.460E-02
 1.256E+03  4.667E-01
 8.489E+02  1.555E-01
 9.208E+02  1.438E-01
 7.274E+02  4.117E-01
 1.127E+03  3.872E-01
 6.694E+02  4.846E-02
 9.520E+02  3.338E-01
 1.161E+03  9.689E-02
 1.885E+03  1.231E-01
 5.873E+02  3.322E-01
 1.224E+03  4.713E-01
 1.116E+03  1.977E-01
 7.693E+02  6.992E-01
 1.072E+03  4.048E-01
 7.997E+02  1.145E-01
 1.182E+03  2.227E-01
 3.007E+02  9.332E-01
 1.307E+03  1.429E-01
 8.922E+02  6.631E-02
 9.079E+02  3.850E-01
 6.143E+02  6.311E-01
 1.396E+03  1.087E-01
 1.143E+03  3.318E-01
 2.260E+03  5.637E-03
 4.885E+02  1.811E-01
 6.323E+02  8.602E-02
 1.035E+03  3.067E-01
 7.440E+02  2.627E-01
 3.674E+02  8.459E-01
 1.056E+03  4.080E-01
 1.678E+03  1.264E-01
 1.098E+03  5.375E-01
 1.762E+03  1.210E-01
 3.218E+02  8.119E-01
 1.801E+03  2.182E-01
 7.439E+02  4.685E-01
 5.628E+02  5.236E-01
 9.039E+02  1.543E-01
 8.372E+02  1.670E-01
 4.368E+02  7.880E-01
 1.969E+03  1.084E-01
 6.752E+02  8.749E-01
 1.437E+03  3.495E-02
 1.131E+03  2.885E-01
 1.646E+03  1.147E-01
 6.128E+02  5.673E-01
 1.528E+03  2.437E-01
 1.205E+03  3.358E-01
 7.799E+02  4.086E-01
 7.413E+02  1.592E-01
 1.200E+03  1.584E-01
 1.686E+03  1.690E-01
 1.234E+03  3.600E-02
 1.752E+03  1.642E-01
 1.058E+03  5.376E-01
 5.356E+02  3.126E-01
 1.882E+03  5.922E-02
 7.218E+02  4.011E-01
 9.390E+02  2.573E-01
 8.244E+02  1.496E-01
 5.464E+02  2.222E-01
 9.933E+02  4.134E-01
 1.390E+03  2.712E-01
